"id","inv","desc","status","created_at","updated_at"
"1107","BGD1.INV.24.662036","Tidak ada data customer","2","10/9/2025 10:30:04","10/9/2025 10:30:04"
"1108","BGD1.INV.24.662047","Tidak ada data customer","2","10/9/2025 10:30:04","10/9/2025 10:30:04"
"1109","BGD1.INV.24.662048","Tidak ada data customer","2","10/9/2025 10:30:04","10/9/2025 10:30:04"
"1110","BGD1.INV.24.662049","Tidak ada data customer","2","10/9/2025 10:30:04","10/9/2025 10:30:04"
"1111","BGD1.INV.24.662050","Tidak ada data customer","2","10/9/2025 10:30:04","10/9/2025 10:30:04"
"1112","BGD1.INV.24.662051","Tidak ada data customer","2","10/9/2025 10:30:04","10/9/2025 10:30:04"
"1113","BGD1.INV.24.662052","Tidak ada data customer","2","10/9/2025 10:30:04","10/9/2025 10:30:04"
"1114","BGD1.INV.24.662053","Tidak ada data customer","2","10/9/2025 10:30:04","10/9/2025 10:30:04"
"1115","BGD1.INV.24.662062","Tidak ada data customer","2","10/9/2025 10:30:04","10/9/2025 10:30:04"
"1116","BGD1.INV.24.662071","Tidak ada data customer","2","10/9/2025 10:30:04","10/9/2025 10:30:04"
"1117","BGD1.INV.24.662072","Tidak ada data customer","2","10/9/2025 10:30:04","10/9/2025 10:30:04"
"1118","BGD1.INV.24.662073","Tidak ada data customer","2","10/9/2025 10:30:04","10/9/2025 10:30:04"
"1119","BGD1.INV.24.662080","Tidak ada data customer","2","10/9/2025 10:30:04","10/9/2025 10:30:04"
"1120","BGD1.INV.24.662072","Tidak ada data customer","2","10/9/2025 10:30:28","10/9/2025 10:30:28"
"1121","BGD1.INV.24.662073","Tidak ada data customer","2","10/9/2025 11:00:05","10/9/2025 11:00:05"
"1122","BGD1.INV.24.662080","Tidak ada data customer","2","10/9/2025 11:30:09","10/9/2025 11:30:09"
